"entry","displayId","name"
4,0,Bonfire Damage
31,6,Old Lion Statue
32,10,Sunken Chest
33,1,Locked Chest
34,7,Old Jug
35,8,Captain's Footlocker
36,9,Broken Barrel
37,19,Eliza's Tombstone
38,10,Captain Sanders Chest
41,10,Ambassador's Locker
47,17,Wanted: Lieutenant Fangore
52,5,Fall of Gurubashi
54,5,The Emperor's Tomb
55,14,A half-eaten body
56,14,Rolf's corpse
57,5,Moon Over the Vale
58,5,Gri'lek the Wanderer
59,20,Mound of loose dirt
60,2,Wanted: Gath'Ilzogg
61,12,A Weathered Grave
68,17,Wanted Poster
76,21,An Empty Jar
80,22,Old Coast Road
81,22,Sentinel Hill
82,22,Elwynn Forest
83,22,Jangolode Mine
84,22,Old Coast Road
85,22,Duskwood
86,22,Elwynn Forest
87,22,Moonbrook
88,22,Duskwood
89,26,Northshire Abbey
90,26,Stormwind City
91,26,Northshire Abbey
92,26,Stormwind City
93,26,Westbrook Garrison
94,26,Westfall
95,26,Eastvale Logging Camp
96,26,Redridge
97,26,Goldshire
98,26,Stormwind City
99,26,Redridge
100,26,Eastvale Logging Camp
101,27,Stranglethorn
102,27,Raven Hill
103,27,Deadwind Pass
104,27,Redridge
105,27,Stranglethorn
106,27,Westfall
107,27,Darkshire
108,27,Raven Hill
109,27,Westfall
110,27,Stranglethorn
111,27,Raven Hill
112,27,Darkshire
113,26,Duskwood
114,26,Lakeshire
115,26,Elwynn
116,26,Stonewatch Keep
117,26,Lakeshire
118,26,Stonewatch Keep
119,18,Abercrombie's Crate
121,22,Duskwood
122,22,Sentinel Hill
123,22,Elwynn Forest
124,22,Moonbrook
129,0,Naxx Teleporter trap
167,335,Abercrombie's Crate
249,336,Crate of Foodstuffs
251,336,Research Equipment
254,17,Wanted: Chok'Sul
256,17,WANTED
257,30,Suspicious Barrel
259,32,Half-buried Barrel
261,31,Damaged Crate
263,36,Kurzen Supplies
264,36,Kurzen Supplies
269,32,Guarded Thunder Ale Barrel
270,32,Unguarded Thunder Ale Barrel
271,36,Miners' League Crates
272,1,MacGrann's Meat Locker
276,644,Shimmerweed Basket
287,43,Bookie Herod's Records
288,1,Bookie Herod's Strongbox
290,4,Furlbrow's Wardrobe
298,26,Thelsamar
299,26,Searing Gorge
301,26,Wetlands
302,26,Dun Morogh
303,26,Dun Morogh
304,26,Wetlands
305,26,Thelsamar
306,26,Thelsamar
307,26,Searing Gorge
308,26,Dun Morogh
309,26,Anvilmar
310,26,Ironforge
311,26,Loch Modan
312,26,Kharanos
313,26,Anvilmar
314,26,Ironforge
315,26,Ironforge
316,26,Kharanos
317,26,Anvilmar
318,26,Loch Modan
321,63,Tear of Tilloa
324,3951,Small Thorium Vein
331,49,Loose Soil
333,52,Ancient Relic
334,53,Ancient Relic
337,297,Water Pitcher
369,56,Thunder Ale
372,58,Battleground Shield
375,60,Tirisfal Pumpkin
376,22,Dun Modr
377,22,Menethil
378,22,Loch Modan
379,22,Loch Modan
380,22,Menethil
381,22,Grim Batol
382,22,Dun Modr
386,70,Metal Mace
387,22,Loch Modan
388,22,Arathi Highlands
389,22,Dun Modr
711,17,Wanted!
759,90,The Holy Spring
965,95,Black Smoke - scale 2
1162,22,Menethil Harbor
1165,43,Gunther's Books
1166,10,Alexston's Chest
1557,151,Lillith's Dinner Table
1558,100,Candle of Beckoning
1560,1,Storage Chest
1561,31,Sealed Crate
1562,41,Marshal Haggard's Chest
1564,26,Ironforge
1565,26,Loch Modan
1566,26,Kharanos
1567,26,Loch Modan
1568,26,Loch Modan
1569,26,Ironforge
1570,26,Kharanos
1571,107,Dusty Spellbooks
1572,26,Kharanos
1573,26,Kharanos
1585,112,Explosive Charge
1586,113,Crate of Candles
1587,114,Turkey Leg
1593,124,Corpse Laden Boat
1594,137,Berard's Bookshelf
1595,26,Westbrook Garrison
1596,26,Westfall
1597,26,Stormwind City
1598,26,Goldshire
1599,20,Shallow Grave
1604,45,Black Smoke Emitter
1605,95,White Smoke Emitter
1607,133,Big Flame Emitter
1609,131,Dragonmaw Catapult
1610,384,Incendicite Mineral Vein
1617,270,Silverleaf
1618,269,Peacebloom
1619,414,Earthroot
1620,268,Mageroyal
1621,271,Briarthorn
1622,358,Bruiseweed
1623,371,Wild Steelbloom
1624,320,Kingsblood
1627,31,Dalaran Crate
1628,357,Grave Moss
1630,27,Brill
1631,27,Agamand Mills
1632,27,Brill
1633,27,Brill
1634,27,Agamand Mills
1638,27,Deathknell
1639,27,Deathknell
1643,27,Brill
1644,27,Agamand Mills
1645,27,Deathknell
1646,27,Silverpine
1647,27,Deathknell
1648,27,Agamand Mills
1649,27,Monastery
1650,27,Plaguelands
1651,27,Deathknell
1652,27,Brill
1653,27,Silverpine
1654,27,Silverpine
1655,27,Monastery
1656,27,Plaguelands
1657,27,Monastery
1658,27,Brill
1659,27,Plaguelands
1660,27,Silverpine
1661,27,The Undercity
1662,27,The Undercity
1663,27,The Undercity
1664,27,The Undercity
1665,27,The Undercity
1666,27,The Undercity
1667,384,Incendicite Mineral Vein
1668,22,Dun Algaz
1669,22,Dun Algaz
1673,425,Fel Cone
1674,26,Gnomeregan
1675,150,The Sepulcher
1676,150,Pyrewood Village
1677,150,Tirisfal
1678,150,Ambermill
1679,150,Pyrewood Village
1680,150,Shadowfang Keep
1681,150,Tirisfal
1685,209,Forge
1686,150,The Sepulcher
1687,150,The Sepulcher
1688,150,Tirisfal
1689,150,Ambermill
1690,150,Pyrewood
1691,150,Shadowfang Keep
1692,150,Deep Elem Mine
1693,150,Ambermill
1694,150,The Sepulcher
1695,150,Pyrewood Village
1696,150,Shadowfang Keep
1697,150,Tirisfal
1698,150,Gilneas
1699,150,Hillsbrad Plains
1700,150,Pyrewood Village
1701,150,Shadowfang Keep
1702,150,The Sepulcher
1703,150,Gilneas
1704,150,Hillsbrad Plains
1705,150,Pyrewood Village
1706,150,Shadowfang Keep
1707,150,Gilneas
1708,150,Ambermill
1709,150,The Sepulcher
1710,150,Hillsbrad Foothills
1711,150,Gilneas
1712,150,Ambermill
1713,150,Hillsbrad Plains
1714,150,Pyrewood Village
1715,150,Shadowfang Keep
1720,154,Stanley's Dish
1721,181,Locked ball and chain
1722,181,Locked ball and chain
1723,389,Mudsnout Blossom
1726,156,Missing: Corporal Keeshan
1727,32,Keg of Shindigger Stout
1728,159,Dusty Rug
1729,32,Tainted Keg
1730,431,Tainted Keg Smoke
1731,310,Copper Vein
1732,315,Tin Vein
1733,314,Silver Vein
1734,311,Gold Vein
1735,312,Iron Deposit
1736,31,Shipment of Iron
1738,163,Syndicate Documents
1739,164,Syndicate Documents
1740,163,Syndicate Documents
1743,197,Forge
1744,166,Anvil
1745,306,Forge
1748,273,Anvil
1749,197,Forge
1752,166,Anvil
1753,197,Forge
1754,273,Anvil
1755,197,Forge
1759,185,Hillsbrad Town Registry
1760,189,Weathered Bookcase
1761,210,Hillsbrad Proclamation
1763,15,WANTED
